"name","date"
"LCG—1(异或）.md","2025-09-16 22:58:00"
"LCG—2(求初始seed）.md","2025-09-18 23:35:00"
"LCG—3(求b）.md","2025-09-19 00:12:00"
"LCG—4（求a）.md","2025-09-21 00:49:00"
"LCG—5.md","2025-09-23 01:26:00"
"LCG—6（seed 80).md","2025-09-24 02:03:00"
"LCG—7（二元LCG）.md","2025-09-26 02:40:00"
"LCG—8(a,n,output(6),output(7)).md","2025-09-28 03:17:00"
